id_solicitud,edad,genero,estado_civil,nivel_educacion,ciudad,tipo_empleo,antiguedad_laboral_meses,ingreso_mensual_bs,monto_solicitado_bs,plazo_meses,num_dependientes,puntaje_crediticio,tiene_vivienda_propia,historial_mora,nivel_riesgo,aprobado
1000,22,Femenino,Casado,Licenciatura,Riberalta,Dependiente,472.0,10838.0,101057.0,24,4,,Sí,No,Bajo,1
1001,59,Masculino, CASADO,Técnico,Santa Cruz,Dependiente,255.0,7129.0,18173.0,12,5,714.0,No,Sí,Alto,0
1002,52,Masculino,Divorciado,Posgrado,La Paz,Independiente,197.0,,36325.0,6,5,687.0,No,Sí,Alto,0
1003,41,Femenino, CASADO,Licenciatura,Cochabamba,Dependiente,32.0,10818.0,34379.0,24,5,686.0,Sí,No,Bajo,1
1004,40,Masculino,,Secundaria,La Paz,Jubilado,362.0,6276.0,72416.0,36,3,631.0,Sí,No,Bajo,0
1005,63,Masculino,Soltero,Licenciatura,El Alto,Dependiente,431.0,11134.0,123885.0,36,0,616.0,Sí,No,Bajo,0
1006,22,Femenino, CASADO,Técnico,Santa Cruz,Dependiente,217.0,7306.0,75372.0,18,4,634.0,Sí,Sí,Alto,0
1007,54,Masculino,Casado,Secundaria,Potosí,Dependiente,437.0,4201.0,14337.0,24,1,715.0,No,No,Bajo,0
1008,28,Femenino,Soltero,Secundaria,El Alto,Dependiente,256.0,3401.0,29477.0,24,5,726.0,No,Sí,Alto,1
1009,22,Masculino,Casado,Licenciatura,La Paz,Dependiente,263.0,11322.0,39870.0,24,3,559.0,Sí,No,Medio,1
1010,45,Masculino,Divorciado,Primaria,La Paz,Independiente,206.0,6652.0,38401.0,24,6,719.0,No,No,Medio,1
1011,69,Masculino, DIVORCIADO,Secundaria,Tarija,Dependiente,267.0,4958.0,25435.0,36,4,,Sí,No,Medio,1
1012,56,Femenino,Casado,Secundaria,Potosí,Independiente,32.0,,44302.0,24,3,692.0,Sí,No,Medio,1
1013,58,Masculino,Casado,Técnico,La Paz,Desempleado,,5509.0,21316.0,48,6,633.0,No,No,Medio,0
1014,56,Femenino,Soltero,Técnico,La Paz,Independiente,228.0,,49459.0,18,3,791.0,Sí,No,Medio,1
1015,59,Femenino,Casado,Técnico,Cochabamba,Independiente,287.0,6618.0,79161.0,6,2,,No,No,Medio,1
1016,45,Femenino,Soltero,Secundaria,El Alto,Dependiente,264.0,5111.0,47418.0,12,2,666.0,NO,No,Bajo,0
1017,24,Masculino,Casado,Primaria,Cochabamba,Dependiente,206.0,159381.0,373982.0,24,6,705.0,No,No,Bajo,1
1018,62,Femenino,Casado,Licenciatura,Santa Cruz,Dependiente,141.0,8287.0,92597.0,24,5,571.0,Sí,No,Medio,0
1019,41,Masculino,Soltero,Secundaria,Montero,Jubilado,349.0,4057.0,33990.0,24,1,643.0,No,No,Bajo,0
1020,44,Masculino,Soltero,Licenciatura,El Alto,Independiente,290.0,7968.0,50847.0,36,3,,si,No,Medio,0
1021,37,Femenino,Soltero,Secundaria,Potosí,Dependiente,22.0,,57506.0,12,2,604.0,No,No,Bajo,0
1022,27,Femenino,,Primaria,La Paz,Independiente,217.0,,34964.0,36,4,610.0,Sí,No,Medio,0
1023,67,Femenino,Casado,Secundaria,Quillacollo,Empleado Público,341.0,7156.0,46909.0,36,0,750.0,No,No,Bajo,0
1024,59,Masculino,Soltero,Técnico,Yacuiba,Independiente,377.0,7869.0,56229.0,18,4,596.0,Sí,Sí,Alto,0
1025,52,Masculino,Viudo,Técnico,Potosí,Independiente,137.0,8517.0,54559.0,18,5,701.0,No,No,Medio,0
1026,39,Femenino,Casado,Licenciatura,Santa Cruz,Desempleado,,9211.0,25205.0,12,1,678.0,No,No,Medio,1
1027,61,Masculino,Casado,Secundaria,El Alto,Independiente,313.0,5687.0,60480.0,18,1,524.0,Sí,No,Alto,0
1028,46,Femenino,Unión Libre,Técnico,Sucre,Independiente,210.0,8158.0,25265.0,36,4,697.0,NO,No,Medio,0
1029,41,Masculino, SOLTERO,Técnico,Potosí,Dependiente,301.0,6624.0,37602.0,48,1,523.0,si,No,Medio,1
1030,41,Masculino,Soltero,Primaria,El Alto,Dependiente,419.0,3062.0,17089.0,24,6,707.0,NO,Sí,Alto,0
1031,30,Masculino,,Técnico,Santa Cruz,Jubilado,257.0,6991.0,35337.0,18,5,604.0,si,No,Bajo,0
1032,22,Masculino, SOLTERO,Secundaria,Santa Cruz,Independiente,72.0,4123.0,25833.0,36,6,651.0,Sí,Sí,Alto,0
1033,47,Masculino,Casado,Técnico,Sucre,Dependiente,211.0,5207.0,41986.0,36,3,534.0,No,Sí,Alto,0
1034,65,Femenino,Soltero,Secundaria,Potosí,Independiente,40.0,,36557.0,18,6,661.0,No,Sí,Alto,0
1035,21,Femenino,Soltero,Licenciatura,Cochabamba,Dependiente,401.0,,42066.0,36,0,733.0,No,No,Bajo,1
1036,63,Femenino,Soltero,Posgrado,Cochabamba,Empleado Público,466.0,8553.0,92652.0,6,2,577.0,No,Sí,Alto,0
1037,61,Masculino,Casado,Primaria,El Alto,Dependiente,291.0,800.0,11615.0,6,0,,Sí,No,Medio,0
